,ticker
ALGN_segment_10,ALGN
ALGN_segment_11,ALGN
ALGN_segment_12,ALGN
ALGN_segment_13,ALGN
ALGN_segment_14,ALGN
ALGN_segment_15,ALGN
ALGN_segment_16,ALGN
ALGN_segment_17,ALGN
ALGN_segment_18,ALGN
ALGN_segment_19,ALGN
ALGN_segment_20,ALGN
ALGN_segment_21,ALGN
ALGN_segment_22,ALGN
ALGN_segment_23,ALGN
ALGN_segment_24,ALGN
ALGN_segment_25,ALGN
ALGN_segment_26,ALGN
ALGN_segment_27,ALGN
ALGN_segment_28,ALGN
ALGN_segment_29,ALGN
ALGN_segment_30,ALGN
ALGN_segment_31,ALGN
ALGN_segment_32,ALGN
ALGN_segment_33,ALGN
ALGN_segment_34,ALGN
ALGN_segment_35,ALGN
ALGN_segment_36,ALGN
ALGN_segment_37,ALGN
ALGN_segment_38,ALGN
ALGN_segment_39,ALGN
ALGN_segment_40,ALGN
ALGN_segment_41,ALGN
ALGN_segment_42,ALGN
ALGN_segment_43,ALGN
ALGN_segment_44,ALGN
ALGN_segment_45,ALGN
ALGN_segment_46,ALGN
ALGN_segment_47,ALGN
ALGN_segment_48,ALGN
ALGN_segment_49,ALGN
ALGN_segment_50,ALGN
ALGN_segment_51,ALGN
ALGN_segment_52,ALGN
ALGN_segment_53,ALGN
ALGN_segment_54,ALGN
ALGN_segment_55,ALGN
ALGN_segment_56,ALGN
ALGN_segment_57,ALGN
ALGN_segment_58,ALGN
ALGN_segment_59,ALGN
ALGN_segment_60,ALGN
ALLE_segment_1,ALLE
ALLE_segment_2,ALLE
ALLE_segment_3,ALLE
ALLE_segment_4,ALLE
ALLE_segment_5,ALLE
ALLE_segment_6,ALLE
ALLE_segment_7,ALLE
ALLE_segment_8,ALLE
ALLE_segment_9,ALLE
ALLE_segment_10,ALLE
ALLE_segment_11,ALLE
ALLE_segment_12,ALLE
ALLE_segment_13,ALLE
ALLE_segment_14,ALLE
ALLE_segment_15,ALLE
ALLE_segment_16,ALLE
ALLE_segment_17,ALLE
ALLE_segment_18,ALLE
ALLE_segment_19,ALLE
LNT_segment_1,LNT
LNT_segment_2,LNT
LNT_segment_3,LNT
LNT_segment_4,LNT
LNT_segment_5,LNT
LNT_segment_6,LNT
LNT_segment_7,LNT
LNT_segment_8,LNT
LNT_segment_9,LNT
LNT_segment_10,LNT
LNT_segment_11,LNT
LNT_segment_12,LNT
LNT_segment_13,LNT
LNT_segment_14,LNT
LNT_segment_15,LNT
LNT_segment_16,LNT
LNT_segment_17,LNT
LNT_segment_18,LNT
LNT_segment_19,LNT
LNT_segment_20,LNT
LNT_segment_21,LNT
LNT_segment_22,LNT
LNT_segment_23,LNT
LNT_segment_24,LNT
LNT_segment_25,LNT
LNT_segment_26,LNT
LNT_segment_27,LNT
LNT_segment_28,LNT
LNT_segment_29,LNT
LNT_segment_30,LNT
LNT_segment_31,LNT
LNT_segment_32,LNT
LNT_segment_33,LNT
LNT_segment_34,LNT
LNT_segment_35,LNT
LNT_segment_36,LNT
LNT_segment_37,LNT
LNT_segment_38,LNT
LNT_segment_39,LNT
LNT_segment_40,LNT
LNT_segment_41,LNT
LNT_segment_42,LNT
LNT_segment_43,LNT
LNT_segment_44,LNT
LNT_segment_45,LNT
LNT_segment_46,LNT
LNT_segment_47,LNT
LNT_segment_48,LNT
LNT_segment_49,LNT
LNT_segment_50,LNT
LNT_segment_51,LNT
LNT_segment_52,LNT
LNT_segment_53,LNT
LNT_segment_54,LNT
LNT_segment_55,LNT
LNT_segment_56,LNT
LNT_segment_57,LNT
LNT_segment_58,LNT
LNT_segment_59,LNT
LNT_segment_60,LNT
LNT_segment_61,LNT
LNT_segment_62,LNT
LNT_segment_63,LNT
ALL_segment_1,ALL
ALL_segment_2,ALL
ALL_segment_3,ALL
ALL_segment_4,ALL
ALL_segment_5,ALL
ALL_segment_6,ALL
ALL_segment_7,ALL
ALL_segment_8,ALL
ALL_segment_9,ALL
ALL_segment_10,ALL
